stationCode,plantType,normalDate
JEJU,CHERRY_BLOSSOM,2026-03-23
BUSAN,CHERRY_BLOSSOM,2026-03-28
DAEGU,CHERRY_BLOSSOM,2026-03-29
GWANGJU,CHERRY_BLOSSOM,2026-03-29
DAEJEON,CHERRY_BLOSSOM,2026-04-01
SEOUL,CHERRY_BLOSSOM,2026-04-06
GANGNEUNG,CHERRY_BLOSSOM,2026-04-08
JEJU,MAEHWA,2026-02-14
BUSAN,MAEHWA,2026-02-21
DAEGU,MAEHWA,2026-02-26
SEOUL,MAEHWA,2026-03-06
GANGNEUNG,MAEHWA,2026-03-14
BUSAN,COSMOS,2026-08-24
DAEGU,COSMOS,2026-08-30
SEOUL,COSMOS,2026-09-05
GANGNEUNG,COSMOS,2026-09-10
JEJU,MAPLE,2026-10-30
DAEJEON,MAPLE,2026-11-04
SEOUL,MAPLE,2026-11-07
GANGNEUNG,MAPLE,2026-11-10
