stationCode,plantType,observedDate,stage,sourceType
JEJU,CHERRY_BLOSSOM,2026-03-20,FULL_BLOOM,CSV
BUSAN,CHERRY_BLOSSOM,2026-03-24,FULL_BLOOM,CSV
DAEGU,CHERRY_BLOSSOM,2026-03-27,IN_PROGRESS,CSV
GWANGJU,CHERRY_BLOSSOM,2026-03-26,IN_PROGRESS,CSV
DAEJEON,CHERRY_BLOSSOM,2026-03-30,STARTED,CSV
SEOUL,CHERRY_BLOSSOM,2026-04-03,STARTED,CSV
GANGNEUNG,CHERRY_BLOSSOM,2026-04-05,BEFORE_START,CSV
JEJU,MAEHWA,2026-02-10,FULL_BLOOM,CSV
BUSAN,MAEHWA,2026-02-18,FULL_BLOOM,CSV
DAEGU,MAEHWA,2026-02-25,IN_PROGRESS,CSV
SEOUL,MAEHWA,2026-03-08,STARTED,CSV
GANGNEUNG,MAEHWA,2026-03-12,BEFORE_START,CSV
BUSAN,COSMOS,2026-08-22,STARTED,CSV
DAEGU,COSMOS,2026-08-28,IN_PROGRESS,CSV
SEOUL,COSMOS,2026-09-02,IN_PROGRESS,CSV
GANGNEUNG,COSMOS,2026-09-08,FULL_BLOOM,CSV
JEJU,MAPLE,2026-10-28,STARTED,CSV
DAEJEON,MAPLE,2026-11-02,IN_PROGRESS,CSV
SEOUL,MAPLE,2026-11-06,PEAK,CSV
GANGNEUNG,MAPLE,2026-11-09,PEAK,CSV
